name,address,website,phone_number,reviews_count,reviews_average
"Dr. Tony Chen, DDS","3156 Steinway St, Astoria, NY 11103, Marekani",astoriamodernfamilydental.com,+1 718-721-4700,Maoni,Nyota
Appolon Dental Group,"200 W 57th St #1402, New York, NY 10019, Marekani",drappolon.com,+1 646-956-1050,Maoni,Nyota
209 NYC Dental,"209 E 56th St 1st floor, New York, NY 10022, Marekani",209nycdental.com,+1 212-355-2290,Maoni,Nyota
New York General Dentistry,"133 E 58th St Ste 409, New York, NY 10022, Marekani",newyorkgeneraldentistry.com,+1 212-838-0842,Maoni,Nyota
New York Dental Office,"245 E 63rd St #110, New York, NY 10065, Marekani",newyorkdentaloffice.com,+1 212-548-3261,Maoni,Nyota
Pearl Dental NYC,"233 Broadway Suite 1801, New York, NY 10279, Marekani",pearldentalnyc.com,+1 212-344-9317,Maoni,Nyota
NYC Dental Center,"216 E 39th St #1, New York, NY 10016, Marekani",weence.com,+1 646-861-3070,Maoni,Nyota
NYC Smile Spa,"30 E 60th St Suite 1201, New York, NY 10022, Marekani",nycsmilespa.com,+1 646-374-2242,Maoni,Nyota
Sachar Dental NYC,"20 E 46th St Rm 1301, New York, NY 10017, Marekani",sachardental.com,+1 212-752-1163,Maoni,Nyota
Making You Smile Cosmetic Dentist Studio NYC: Dr. Ziad Jalbout DDS,"36 E 36th St #1D, New York, NY 10016, Marekani",makingyousmile.nyc,+1 646-846-4645,Maoni,Nyota
